Steps: 10 Loss: 0.05061| DTW: 31.380| LR: 0.001000 *
Steps: 20 Loss: 0.02073| DTW: 26.814| LR: 0.001000 *
Steps: 30 Loss: 0.01390| DTW: 21.016| LR: 0.001000 *
Steps: 40 Loss: 0.01081| DTW: 18.703| LR: 0.001000 *
Steps: 50 Loss: 0.00934| DTW: 17.530| LR: 0.001000 *
Steps: 60 Loss: 0.00916| DTW: 17.225| LR: 0.001000 *
Steps: 70 Loss: 0.00889| DTW: 17.186| LR: 0.001000 *
Steps: 80 Loss: 0.00886| DTW: 17.318| LR: 0.001000 
Steps: 90 Loss: 0.00891| DTW: 17.537| LR: 0.001000 
Steps: 100 Loss: 0.00882| DTW: 17.682| LR: 0.001000 
Steps: 110 Loss: 0.00877| DTW: 17.773| LR: 0.001000 
Steps: 120 Loss: 0.00876| DTW: 17.898| LR: 0.001000 
Steps: 130 Loss: 0.00875| DTW: 18.017| LR: 0.001000 
Steps: 140 Loss: 0.00871| DTW: 18.089| LR: 0.001000 
Steps: 150 Loss: 0.00865| DTW: 21.602| LR: 0.000700 
Steps: 160 Loss: 0.00865| DTW: 18.220| LR: 0.000700 
Steps: 170 Loss: 0.00860| DTW: 21.765| LR: 0.000700 
Steps: 180 Loss: 0.00858| DTW: 21.751| LR: 0.000700 
Steps: 190 Loss: 0.00854| DTW: 21.862| LR: 0.000700 
Steps: 200 Loss: 0.00847| DTW: 21.913| LR: 0.000700 
Steps: 210 Loss: 0.00836| DTW: 21.958| LR: 0.000700 
Steps: 220 Loss: 0.00826| DTW: 22.003| LR: 0.000700 
Steps: 230 Loss: 0.00817| DTW: 18.447| LR: 0.000490 
Steps: 240 Loss: 0.00810| DTW: 18.474| LR: 0.000490 
Steps: 250 Loss: 0.00806| DTW: 18.562| LR: 0.000490 
Steps: 260 Loss: 0.00804| DTW: 18.617| LR: 0.000490 
Steps: 270 Loss: 0.00800| DTW: 18.665| LR: 0.000490 
Steps: 280 Loss: 0.00798| DTW: 18.749| LR: 0.000490 
Steps: 290 Loss: 0.00793| DTW: 18.805| LR: 0.000490 
Steps: 300 Loss: 0.00789| DTW: 18.819| LR: 0.000490 
Steps: 310 Loss: 0.00786| DTW: 18.856| LR: 0.000343 
Steps: 320 Loss: 0.00786| DTW: 18.903| LR: 0.000343 
Steps: 330 Loss: 0.00784| DTW: 18.949| LR: 0.000343 
Steps: 340 Loss: 0.00783| DTW: 19.049| LR: 0.000343 
Steps: 350 Loss: 0.00781| DTW: 19.116| LR: 0.000343 
Steps: 360 Loss: 0.00783| DTW: 19.196| LR: 0.000343 
Steps: 370 Loss: 0.00780| DTW: 19.209| LR: 0.000343 
Steps: 380 Loss: 0.00778| DTW: 19.160| LR: 0.000343 
Steps: 390 Loss: 0.00776| DTW: 19.183| LR: 0.000240 
Steps: 400 Loss: 0.00776| DTW: 19.245| LR: 0.000240 
Steps: 410 Loss: 0.00776| DTW: 19.245| LR: 0.000240 
Steps: 420 Loss: 0.00774| DTW: 19.269| LR: 0.000240 
Steps: 430 Loss: 0.00775| DTW: 19.320| LR: 0.000240 
Steps: 440 Loss: 0.00774| DTW: 19.345| LR: 0.000240 
Steps: 450 Loss: 0.00771| DTW: 19.348| LR: 0.000240 
Steps: 460 Loss: 0.00771| DTW: 19.533| LR: 0.000240 
Steps: 470 Loss: 0.00769| DTW: 19.546| LR: 0.000168 
